SEIFA,YEAR,GEO_TYPE,GEO_CD,GEO_NM,URP,SCORE,AUS_RANK,AUS_DECILE,AUS_PERCENTILE,STATE,STATE_RANK,STATE_DECILE,STATE_PERCENTILE,MIN_SA1_SCORE_AREA,MAX_SA1_SCORE_AREA,URP_PERCENT_WO_SA1_SCORE,USE_WITH_CAUTION,CROSSES_STATE
IRSAD,2016,SA2,312021346,Mackay,3659,884,166,1,8,QLD,47,1,10,836,1031,0,,
IRSAD,2016,SA2,312021347,Mackay Harbour,518,1069,1721,8,79,QLD,438,9,86,1069,1069,0,,
IRSAD,2016,SA2,312021348,Mount Pleasant - Glenella,10709,1034,1406,7,65,QLD,359,7,70,894,1131,0,,
IRSAD,2016,SA2,312021349,North Mackay,6000,911,304,2,14,QLD,84,2,17,832,1087,0.005333333,,
IRSAD,2016,SA2,312021350,Ooralea - Bakers Creek,5036,994,1059,5,49,QLD,265,6,52,881,1063,0.00655282,,
IRSAD,2016,SA2,312021351,Pioneer Valley,8209,971,841,4,39,QLD,211,5,42,858,1039,0,,
IRSAD,2016,SA2,312021352,Sarina,11616,933,480,3,22,QLD,135,3,27,798,1007,0,,
IRSAD,2016,SA2,312021353,Seaforth - Calen,8123,969,818,4,38,QLD,206,5,41,865,1062,0.003077681,,
IRSAD,2016,SA2,312021354,Shoal Point - Bucasia,5747,983,950,5,44,QLD,240,5,47,925,1048,0,,
IRSAD,2016,SA2,312021355,Slade Point,3349,917,339,2,16,QLD,92,2,18,802,1026,0.00089579,,
IRSAD,2016,SA2,312021356,South Mackay,6704,905,259,2,12,QLD,70,2,14,792,976,0.000894988,,
IRSAD,2016,SA2,312021357,Walkerston - Eton,8323,992,1041,5,48,QLD,258,6,51,884,1056,0,,
IRSAD,2016,SA2,312021358,West Mackay,6160,958,704,4,33,QLD,181,4,36,886,1024,0.003896104,,
IRSAD,2016,SA2,312031359,Airlie - Whitsundays,12928,989,1011,5,47,QLD,251,5,49,903,1061,0.175046411,,
IRSAD,2016,SA2,312031361,Proserpine,8293,949,624,3,29,QLD,164,4,32,796,1034,0.001205836,,
IRSAD,2016,SA2,313011362,Beachmere - Sandstone Point,14892,931,461,3,22,QLD,127,3,25,866,1050,0,,
IRSAD,2016,SA2,313011363,Bribie Island,18142,925,407,2,19,QLD,115,3,23,779,1096,0.000275604,,
IRSAD,2016,SA2,313021364,Burpengary - East,3970,1034,1414,7,65,QLD,361,8,71,1014,1072,0,,
IRSAD,2016,SA2,313021365,Caboolture,26827,886,175,1,9,QLD,50,1,10,670,1005,0,,
IRSAD,2016,SA2,313021366,Caboolture - South,20349,880,145,1,7,QLD,42,1,9,746,971,0,,
IRSAD,2016,SA2,313021367,Elimbah,3963,1004,1161,6,54,QLD,287,6,56,972,1044,0,,
IRSAD,2016,SA2,313021368,Morayfield - East,8434,914,317,2,15,QLD,89,2,18,850,966,0,,
IRSAD,2016,SA2,313021369,Wamuran,3932,1015,1258,6,58,QLD,316,7,62,942,1058,0,,
IRSAD,2016,SA2,313031370,Kilcoy,5383,917,342,2,16,QLD,94,2,19,829,983,0,,
IRSAD,2016,SA2,313031371,Woodford - D'Aguilar,7850,960,722,4,34,QLD,188,4,37,867,1013,0.119235669,,
IRSAD,2016,SA2,313041372,Burpengary,14022,972,853,4,40,QLD,212,5,42,813,1077,0,,
IRSAD,2016,SA2,313041373,Deception Bay,22446,889,188,1,9,QLD,52,2,11,733,1042,0.000133654,,
IRSAD,2016,SA2,313041374,Morayfield,4825,1028,1370,7,63,QLD,350,7,69,958,1074,0,,
IRSAD,2016,SA2,313041375,Narangba,18573,1027,1355,7,63,QLD,346,7,68,952,1110,0.000161525,,
IRSAD,2016,SA2,313041376,Upper Caboolture,3022,1026,1350,7,62,QLD,343,7,67,1008,1052,0,,
IRSAD,2016,SA2,313051377,Clontarf,8251,948,611,3,28,QLD,161,4,32,890,999,0.00375712,,
IRSAD,2016,SA2,313051378,Margate - Woody Point,11696,931,453,3,21,QLD,125,3,25,754,1026,0,,
IRSAD,2016,SA2,313051379,Redcliffe,10164,921,373,2,18,QLD,104,3,21,731,1047,0.00304998,,
IRSAD,2016,SA2,313051380,Rothwell - Kippa-Ring,17138,922,383,2,18,QLD,108,3,22,759,1031,0,,
IRSAD,2016,SA2,313051542,Scarborough - Newport - Moreton Island,12226,1016,1263,6,58,QLD,318,7,62,912,1141,0,,
IRSAD,2016,SA2,314011382,Albany Creek,15800,1075,1767,9,81,QLD,446,9,87,861,1174,0,,
IRSAD,2016,SA2,314011383,Cashmere,18805,1081,1808,9,83,QLD,450,9,88,942,1177,0,,
IRSAD,2016,SA2,314011384,Dayboro,8489,1075,1766,9,81,QLD,445,9,87,978,1126,0,,
IRSAD,2016,SA2,314011385,Eatons Hill,7973,1114,1997,10,92,QLD,487,10,95,1054,1157,0,,
IRSAD,2016,SA2,314011386,The Hills District,23369,1073,1745,8,80,QLD,441,9,86,981,1185,0.000342334,,
IRSAD,2016,SA2,314011387,Samford Valley,11754,1130,2072,10,95,QLD,497,10,97,1032,1183,0,,
IRSAD,2016,SA2,314021388,Dakabin - Kallangur,23932,940,549,3,26,QLD,153,3,30,824,1039,0.000543206,,
IRSAD,2016,SA2,314021389,Murrumba Downs - Griffin,17520,1023,1328,7,61,QLD,337,7,66,921,1134,0,,
IRSAD,2016,SA2,314021390,North Lakes - Mango Hill,30105,1041,1493,7,69,QLD,382,8,75,935,1139,0.000631124,,
IRSAD,2016,SA2,314031391,Bray Park,10246,970,826,4,38,QLD,208,5,41,889,1010,0,,
IRSAD,2016,SA2,314031392,Lawnton,6011,944,579,3,27,QLD,156,4,31,791,1072,0,,
IRSAD,2016,SA2,314031393,Petrie,8690,1001,1135,6,52,QLD,282,6,55,882,1117,0,,
IRSAD,2016,SA2,314031394,Strathpine - Brendale,12270,938,532,3,25,QLD,149,3,29,842,1006,0.003096985,,
IRSAD,2016,SA2,315011395,Aurukun,1269,641,3,1,1,QLD,1,1,1,641,641,0.004728132,,
IRSAD,2016,SA2,315011396,Cape York,7513,820,45,1,3,QLD,15,1,3,665,1037,0.015173699,,
